threshold,%attacksdetected,TotalNumFP,f1,precision,recall
0.6416416416,41.7910447761,46416,0.0035973534,0.0018064516,0.4179104478
0.6421421421,41.7910447761,45774,0.0036474956,0.0018317415,0.4179104478
0.6426426426,41.7910447761,45157,0.0036970204,0.0018567229,0.4179104478
0.6431431431,40.7960199005,44483,0.0036634946,0.001840009,0.407960199
0.6436436436,40.7960199005,43903,0.0037115829,0.0018642719,0.407960199
0.6441441441,40.7960199005,6159,0.0254579323,0.01313892,0.407960199
0.6446446446,40.7960199005,1851,0.0768509841,0.0424211071,0.407960199
0.6451451451,40.7960199005,1725,0.0816733068,0.0453790814,0.407960199
0.6456456456,40.7960199005,1720,0.0818771842,0.0455049945,0.407960199
0.6461461461,40.7960199005,1718,0.0819590205,0.0455555556,0.407960199
0.6466466466,40.7960199005,1716,0.0820410205,0.0456062291,0.407960199
0.6471471471,40.7960199005,1712,0.0822055138,0.0457079153,0.407960199
0.6476476476,40.7960199005,1710,0.082288008,0.0457589286,0.407960199
0.6481481481,40.2985074627,1709,0.0813661477,0.0452513966,0.4029850746
0.6486486486,40.2985074627,1705,0.0815299446,0.0453527436,0.4029850746
0.6491491491,40.2985074627,1701,0.0816944024,0.0454545455,0.4029850746
0.6496496497,40.2985074627,1695,0.0819423369,0.0456081081,0.4029850746
0.6501501502,40.2985074627,1694,0.0819838057,0.0456338028,0.4029850746
0.6506506507,40.2985074627,1693,0.0820253165,0.0456595265,0.4029850746
0.6511511512,40.2985074627,1671,0.0829493088,0.0462328767,0.4029850746
0.6516516517,40.2985074627,1657,0.0835482207,0.0466052934,0.4029850746
0.6521521522,40.2985074627,1656,0.0835913313,0.0466321244,0.4029850746
0.6526526527,40.2985074627,1655,0.0836344863,0.0466589862,0.4029850746
0.6531531532,40.2985074627,1652,0.0837642192,0.0467397576,0.4029850746
0.6536536537,39.8009950249,1651,0.082815735,0.0462160601,0.3980099502
0.6541541542,39.8009950249,1650,0.0828586225,0.0462427746,0.3980099502
0.6546546547,39.8009950249,1648,0.0829445308,0.0462962963,0.3980099502
0.6551551552,39.8009950249,1648,0.0829445308,0.0462962963,0.3980099502
0.6556556557,39.8009950249,1645,0.0830737279,0.0463768116,0.3980099502
0.6561561562,39.8009950249,1641,0.0832466181,0.046484602,0.3980099502
0.6566566567,39.8009950249,1641,0.0832466181,0.046484602,0.3980099502
0.6571571572,39.8009950249,1639,0.0833333333,0.0465386853,0.3980099502
0.6576576577,39.8009950249,1637,0.0834202294,0.0465928946,0.3980099502
0.6581581582,39.8009950249,263,0.2941176471,0.2332361516,0.3980099502
0.6586586587,39.8009950249,259,0.2962962963,0.2359882006,0.3980099502
0.6591591592,39.8009950249,256,0.2979515829,0.2380952381,0.3980099502
0.6596596597,39.3034825871,243,0.3021032505,0.2453416149,0.3930348259
0.6601601602,39.3034825871,228,0.311023622,0.2573289902,0.3930348259
0.6606606607,39.3034825871,225,0.3128712871,0.2598684211,0.3930348259
0.6611611612,39.3034825871,223,0.3141153082,0.261589404,0.3930348259
0.6616616617,39.3034825871,222,0.3147410359,0.2624584718,0.3930348259
0.6621621622,39.3034825871,222,0.3147410359,0.2624584718,0.3930348259
0.6626626627,39.3034825871,221,0.3153692615,0.2633333333,0.3930348259
0.6631631632,39.3034825871,220,0.316,0.2642140468,0.3930348259
0.6636636637,39.3034825871,217,0.3179074447,0.2668918919,0.3930348259
0.6641641642,39.3034825871,217,0.3179074447,0.2668918919,0.3930348259
0.6646646647,39.3034825871,217,0.3179074447,0.2668918919,0.3930348259
0.6651651652,39.3034825871,210,0.3224489796,0.2733564014,0.3930348259
0.6656656657,39.3034825871,209,0.3231083845,0.2743055556,0.3930348259
0.6661661662,39.3034825871,207,0.3244353183,0.2762237762,0.3930348259
0.6666666667,39.3034825871,207,0.3244353183,0.2762237762,0.3930348259
0.6671671672,39.3034825871,207,0.3244353183,0.2762237762,0.3930348259
0.6676676677,38.8059701493,207,0.3209876543,0.2736842105,0.3880597015
0.6681681682,38.8059701493,205,0.3223140496,0.2756183746,0.3880597015
0.6686686687,38.8059701493,205,0.3223140496,0.2756183746,0.3880597015
0.6691691692,38.8059701493,205,0.3223140496,0.2756183746,0.3880597015
0.6696696697,38.3084577114,205,0.3188405797,0.2730496454,0.3830845771
0.6701701702,38.3084577114,204,0.3195020747,0.2740213523,0.3830845771
0.6706706707,38.3084577114,202,0.3208333333,0.2759856631,0.3830845771
0.6711711712,38.3084577114,201,0.3215031315,0.2769784173,0.3830845771
0.6716716717,38.3084577114,179,0.3369803063,0.30078125,0.3830845771
0.6721721722,38.3084577114,179,0.3369803063,0.30078125,0.3830845771
0.6726726727,38.3084577114,178,0.3377192982,0.3019607843,0.3830845771
0.6731731732,38.3084577114,176,0.3392070485,0.3043478261,0.3830845771
0.6736736737,38.3084577114,175,0.3399558499,0.3055555556,0.3830845771
0.6741741742,38.3084577114,174,0.3407079646,0.3067729084,0.3830845771
0.6746746747,38.3084577114,174,0.3407079646,0.3067729084,0.3830845771
0.6751751752,38.3084577114,174,0.3407079646,0.3067729084,0.3830845771
0.6756756757,38.3084577114,173,0.3414634146,0.308,0.3830845771
0.6761761762,38.3084577114,172,0.3422222222,0.3092369478,0.3830845771
0.6766766767,37.3134328358,172,0.3348214286,0.3036437247,0.3731343284
0.6771771772,37.3134328358,172,0.3348214286,0.3036437247,0.3731343284
0.6776776777,37.3134328358,172,0.3348214286,0.3036437247,0.3731343284
0.6781781782,37.3134328358,172,0.3348214286,0.3036437247,0.3731343284
0.6786786787,37.3134328358,170,0.33632287,0.306122449,0.3731343284
0.6791791792,37.3134328358,170,0.33632287,0.306122449,0.3731343284
0.6796796797,37.3134328358,169,0.3370786517,0.3073770492,0.3731343284
0.6801801802,37.3134328358,169,0.3370786517,0.3073770492,0.3731343284
0.6806806807,37.3134328358,168,0.3378378378,0.3086419753,0.3731343284
0.6811811812,37.3134328358,167,0.3386004515,0.3099173554,0.3731343284
0.6816816817,36.815920398,167,0.334841629,0.3070539419,0.368159204
0.6821821822,36.815920398,166,0.335600907,0.3083333333,0.368159204
0.6826826827,36.815920398,166,0.335600907,0.3083333333,0.368159204
0.6831831832,36.815920398,164,0.3371298405,0.3109243697,0.368159204
0.6836836837,36.815920398,162,0.3386727689,0.313559322,0.368159204
0.6841841842,36.815920398,160,0.3402298851,0.3162393162,0.368159204
0.6846846847,36.815920398,160,0.3402298851,0.3162393162,0.368159204
0.6851851852,36.815920398,159,0.3410138249,0.3175965665,0.368159204
0.6856856857,36.815920398,156,0.343387471,0.3217391304,0.368159204
0.6861861862,36.815920398,155,0.3441860465,0.3231441048,0.368159204
0.6866866867,36.815920398,152,0.3466042155,0.3274336283,0.368159204
0.6871871872,36.3184079602,150,0.3443396226,0.3273542601,0.3631840796
0.6876876877,35.8208955224,149,0.3412322275,0.3257918552,0.3582089552
0.6881881882,35.8208955224,148,0.3420427553,0.3272727273,0.3582089552
